Date,Open,High,Low,Close,Adj Close,Volume
2018-05-11,422.149994,428.339996,421.720001,424.899994,424.899994,546000
2018-05-14,427.299988,432.829987,423.519989,425.059998,425.059998,824000
2018-05-15,424.739990,431.230011,422.670013,426.559998,426.559998,730900
2018-05-16,429.320007,447.709991,429.320007,444.670013,444.670013,1860700
2018-05-17,444.510010,444.910004,436.089996,438.579987,438.579987,1140900
2018-05-18,438.269989,439.690002,431.049988,431.950012,431.950012,710000
2018-05-21,433.269989,435.750000,430.200012,433.859985,433.859985,412500
2018-05-22,435.769989,435.769989,430.600006,433.440002,433.440002,410700
2018-05-23,432.000000,436.250000,430.640015,435.510010,435.510010,369800
2018-05-24,435.000000,435.589996,430.630005,433.429993,433.429993,297800
2018-05-25,433.910004,436.609985,427.559998,428.959991,428.959991,454500
2018-05-29,428.910004,434.850006,427.000000,433.010010,433.010010,528000
2018-05-30,433.940002,437.339996,432.540009,436.609985,436.609985,385300
2018-05-31,437.079987,441.500000,429.149994,430.179993,430.179993,665900
2018-06-01,431.589996,439.950012,430.959991,438.619995,438.619995,640700
2018-06-04,441.660004,444.500000,438.079987,443.829987,443.829987,570800
2018-06-05,444.690002,456.000000,442.470001,453.339996,453.339996,719400
2018-06-06,453.959991,458.690002,452.130005,453.820007,453.820007,724600
2018-06-07,454.910004,457.750000,446.579987,448.279999,448.279999,509600
2018-06-08,448.989990,459.649994,446.910004,453.380005,453.380005,1388200
2018-06-11,452.820007,470.000000,452.820007,466.640015,466.640015,1128500
2018-06-12,466.440002,469.420013,462.440002,466.299988,466.299988,715200
2018-06-13,466.910004,469.420013,456.950012,457.299988,457.299988,549600
2018-06-14,459.320007,461.399994,454.399994,460.440002,460.440002,493800
2018-06-15,459.880005,465.450012,457.070007,462.010010,462.010010,544700
2018-06-18,459.019989,472.309998,458.589996,468.459991,468.459991,550800
2018-06-19,464.299988,471.200012,464.000000,469.220001,469.220001,554100
2018-06-20,469.299988,470.760010,462.160004,465.500000,465.500000,372800
2018-06-21,468.600006,473.959991,462.739990,463.160004,463.160004,507100
2018-06-22,469.190002,474.459991,464.079987,469.940002,469.940002,662000
2018-06-25,467.000000,467.649994,450.589996,454.170013,454.170013,794100
2018-06-26,455.459991,465.149994,455.000000,461.700012,461.700012,907700
2018-06-27,460.000000,467.510010,455.200012,457.239990,457.239990,628600
2018-06-28,434.549988,440.440002,415.059998,428.359985,428.359985,2254100
2018-06-29,433.000000,437.600006,429.279999,431.369995,431.369995,1022000
2018-07-02,427.980011,442.989990,424.359985,442.820007,442.820007,701300
2018-07-03,443.500000,450.470001,441.019989,448.950012,448.950012,457000
2018-07-05,450.000000,450.000000,444.630005,448.019989,448.019989,472500
2018-07-06,449.850006,451.820007,445.619995,451.040009,451.040009,573500
2018-07-09,454.380005,464.570007,452.760010,463.890015,463.890015,729900
2018-07-10,455.720001,461.140015,452.559998,454.209991,454.209991,671300
2018-07-11,452.739990,459.790009,452.170013,457.179993,457.179993,580600
2018-07-12,459.890015,464.390015,458.399994,459.049988,459.049988,405100
2018-07-13,458.600006,461.000000,456.670013,457.209991,457.209991,349400
2018-07-16,455.160004,458.220001,448.950012,452.059998,452.059998,531900
2018-07-17,451.290009,459.779999,448.529999,452.540009,452.540009,531500
2018-07-18,453.769989,454.739990,448.200012,453.579987,453.579987,308300
2018-07-19,453.000000,458.309998,452.000000,454.829987,454.829987,291500
2018-07-20,453.279999,454.570007,449.010010,451.190002,451.190002,429500
2018-07-23,451.130005,457.059998,448.790009,456.589996,456.589996,443900
2018-07-24,456.950012,456.950012,447.209991,449.480011,449.480011,577500
2018-07-25,446.010010,457.200012,446.010010,451.630005,451.630005,440800
2018-07-26,449.260010,451.540009,446.000000,446.760010,446.760010,875400
2018-07-27,473.839996,483.290009,465.559998,472.299988,472.299988,2182100
2018-07-30,470.149994,472.989990,464.549988,465.470001,465.470001,745400
2018-07-31,448.000000,452.750000,425.880005,433.660004,433.660004,4542100
2018-08-01,435.000000,444.989990,429.010010,442.630005,442.630005,1131400
2018-08-02,440.079987,461.100006,439.429993,460.380005,460.380005,1239700
2018-08-03,460.250000,468.440002,459.000000,463.269989,463.269989,1083300
2018-08-06,464.779999,480.230011,461.809998,475.250000,475.250000,1130000
2018-08-07,476.500000,482.000000,471.019989,478.019989,478.019989,548500
2018-08-08,478.779999,488.239990,477.940002,487.570007,487.570007,804200
2018-08-09,488.429993,493.000000,486.720001,487.679993,487.679993,592300
2018-08-10,484.940002,490.850006,482.440002,485.470001,485.470001,597400
2018-08-13,486.380005,489.959991,481.250000,484.660004,484.660004,383000
2018-08-14,486.820007,495.040009,485.010010,493.320007,493.320007,876300
2018-08-15,504.790009,526.409973,504.739990,525.890015,525.890015,1918600
2018-08-16,526.510010,530.679993,499.440002,502.700012,502.700012,2211500
2018-08-17,505.040009,513.520020,500.489990,510.440002,510.440002,725100
2018-08-20,510.339996,516.760010,504.190002,515.750000,515.750000,598500
2018-08-21,515.750000,522.229980,512.119995,518.900024,518.900024,450900
2018-08-22,519.099976,527.000000,518.020020,523.580017,523.580017,459300
2018-08-23,514.380005,522.690002,511.119995,518.039978,518.039978,705700
2018-08-24,520.539978,522.789978,519.309998,520.710022,520.710022,451400
2018-08-27,511.750000,513.010010,493.459991,495.600006,495.600006,1373600
2018-08-28,496.489990,503.000000,493.420013,494.089996,494.089996,515800
2018-08-29,497.600006,497.600006,485.579987,487.649994,487.649994,771200
2018-08-30,486.380005,490.420013,482.179993,483.989990,483.989990,561200
2018-08-31,480.000000,481.529999,472.000000,475.179993,475.179993,803300
2018-09-04,476.190002,479.450012,471.250000,477.489990,477.489990,593100
2018-09-05,479.100006,481.519989,473.290009,477.880005,477.880005,710500
2018-09-06,479.519989,482.429993,476.260010,481.049988,481.049988,796600
2018-09-07,474.760010,483.290009,468.170013,482.029999,482.029999,780000
2018-09-10,482.779999,490.470001,477.829987,489.119995,489.119995,781200
2018-09-11,489.119995,493.559998,487.339996,488.230011,488.230011,406400
2018-09-12,488.130005,495.850006,484.529999,494.769989,494.769989,513200
2018-09-13,494.799988,497.869995,491.880005,495.940002,495.940002,439100
2018-09-14,497.239990,497.239990,488.510010,491.559998,491.559998,506400
2018-09-17,491.619995,491.619995,481.989990,488.320007,488.320007,633400
2018-09-18,487.630005,493.809998,487.630005,491.489990,491.489990,438800
2018-09-19,491.109985,492.970001,488.839996,490.600006,490.600006,386300
2018-09-20,492.299988,496.890015,477.299988,480.100006,480.100006,654000
2018-09-21,480.480011,480.880005,465.220001,467.369995,467.369995,994700
2018-09-24,465.109985,467.350006,458.079987,465.890015,465.890015,620300
2018-09-25,468.089996,468.899994,463.589996,465.619995,465.619995,354300
2018-09-26,467.299988,471.500000,462.970001,467.910004,467.910004,547900
2018-09-27,469.040009,473.980011,464.350006,465.399994,465.399994,440700
2018-09-28,461.799988,462.309998,453.670013,454.519989,454.519989,932600
2018-10-01,446.970001,458.859985,446.000000,446.970001,446.970001,958100
2018-10-02,448.000000,450.709991,435.760010,436.369995,436.369995,916600
2018-10-03,436.059998,439.989990,431.440002,436.440002,436.440002,707100
2018-10-04,440.000000,447.829987,439.000000,447.769989,447.769989,860500
2018-10-05,446.910004,454.799988,444.160004,449.359985,449.359985,958800
2018-10-08,448.649994,455.000000,444.220001,448.559998,448.559998,839300
2018-10-09,448.950012,455.760010,446.040009,447.089996,447.089996,492600
2018-10-10,445.940002,446.700012,433.299988,434.209991,434.209991,638400
2018-10-11,432.000000,442.429993,430.309998,433.929993,433.929993,659800
2018-10-12,439.549988,444.640015,425.140015,435.709991,435.709991,819200
